,date,temperature,month,month_sin,month_cos,day,day_sin,day_cos,hours,hours_sin,hours_cos
0,1709251200,3.9402456,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,0,0.0,1.0
1,1709254800,4.380245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,1,0.25881904510252074,0.9659258262890683
2,1709258400,4.8002453,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,2,0.49999999999999994,0.8660254037844387
3,1709262000,5.540245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,3,0.7071067811865475,0.7071067811865476
4,1709265600,5.960245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,4,0.8660254037844386,0.5000000000000001
5,1709269200,6.230245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,5,0.9659258262890683,0.25881904510252074
6,1709272800,6.380245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,6,1.0,6.123233995736766e-17
7,1709276400,6.750245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,7,0.9659258262890683,-0.25881904510252063
8,1709280000,7.3002453,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,8,0.8660254037844387,-0.4999999999999998
9,1709283600,7.860245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,9,0.7071067811865476,-0.7071067811865475
10,1709287200,8.260245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,10,0.49999999999999994,-0.8660254037844387
11,1709290800,8.470245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,11,0.258819045102521,-0.9659258262890682
12,1709294400,8.690246,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,12,1.2246467991473532e-16,-1.0
13,1709298000,9.210245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,13,-0.2588190451025208,-0.9659258262890683
14,1709301600,9.680245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,14,-0.4999999999999997,-0.8660254037844388
15,1709305200,9.8102455,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,15,-0.7071067811865471,-0.7071067811865479
16,1709308800,9.620245,3,1.0,6.123233995736766e-17,1,0.20791169081775931,0.9781476007338057,16,-0.8660254037844384,-0.5000000000000004
