,date,temperature,month,month_sin,month_cos,day,day_sin,day_cos,hours,hours_sin,hours_cos
0,1661990400,15.150246,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,0,0.0,1.0
1,1661994000,14.950245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,1,0.25881904510252074,0.9659258262890683
2,1661997600,14.600245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,2,0.49999999999999994,0.8660254037844387
3,1662001200,14.040245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,3,0.7071067811865475,0.7071067811865476
4,1662004800,14.050245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,4,0.8660254037844386,0.5000000000000001
5,1662008400,14.100245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,5,0.9659258262890683,0.25881904510252074
6,1662012000,15.3102455,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,6,1.0,6.123233995736766e-17
7,1662015600,16.820246,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,7,0.9659258262890683,-0.25881904510252063
8,1662019200,18.130245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,8,0.8660254037844387,-0.4999999999999998
9,1662022800,19.530245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,9,0.7071067811865476,-0.7071067811865475
10,1662026400,20.720245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,10,0.49999999999999994,-0.8660254037844387
11,1662030000,22.010244,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,11,0.258819045102521,-0.9659258262890682
12,1662033600,23.180244,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,12,1.2246467991473532e-16,-1.0
13,1662037200,23.890245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,13,-0.2588190451025208,-0.9659258262890683
14,1662040800,24.640245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,14,-0.4999999999999997,-0.8660254037844388
15,1662044400,24.500246,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,15,-0.7071067811865471,-0.7071067811865479
16,1662048000,24.280245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,16,-0.8660254037844384,-0.5000000000000004
17,1662051600,23.430244,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,17,-0.9659258262890683,-0.25881904510252063
18,1662055200,21.050245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,18,-1.0,-1.8369701987210297e-16
19,1662058800,18.820246,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,19,-0.9659258262890684,0.2588190451025203
20,1662062400,17.880245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,20,-0.8660254037844386,0.5000000000000001
21,1662066000,16.230246,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,21,-0.7071067811865477,0.7071067811865474
22,1662069600,14.880245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,22,-0.5000000000000004,0.8660254037844384
23,1662073200,14.030245,9,-1.0,-1.8369701987210297e-16,1,0.20791169081775931,0.9781476007338057,23,-0.25881904510252157,0.9659258262890681
24,1662076800,13.410245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,0,0.0,1.0
25,1662080400,12.690246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,1,0.25881904510252074,0.9659258262890683
26,1662084000,12.370245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,2,0.49999999999999994,0.8660254037844387
27,1662087600,11.840245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,3,0.7071067811865475,0.7071067811865476
28,1662091200,11.640245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,4,0.8660254037844386,0.5000000000000001
29,1662094800,11.400246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,5,0.9659258262890683,0.25881904510252074
30,1662098400,13.360246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,6,1.0,6.123233995736766e-17
31,1662102000,16.050245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,7,0.9659258262890683,-0.25881904510252063
32,1662105600,18.120245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,8,0.8660254037844387,-0.4999999999999998
33,1662109200,19.580246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,9,0.7071067811865476,-0.7071067811865475
34,1662112800,21.500246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,10,0.49999999999999994,-0.8660254037844387
35,1662116400,22.870245,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,11,0.258819045102521,-0.9659258262890682
36,1662120000,24.080246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,12,1.2246467991473532e-16,-1.0
37,1662123600,24.650246,9,-1.0,-1.8369701987210297e-16,2,0.40673664307580015,0.9135454576426009,13,-0.2588190451025208,-0.9659258262890683
